Customer ID,Customer Segment,Region,Current Price,Proposed Price,Competitor Price,Unit Cost,Willingness to Pay,Expected Demand,Number of Customers,Conversion Rate,Churn Rate,Discount %,Revenue,Gross Profit,Gross Margin %,CAC,LTV,LTV:CAC Ratio,Price Sensitivity Score,Pricing Scenario,Recommended Price,Final Decision
CUST0001,Students,India,499,1499,540.0,76.0,639.0,38,1,0.025,0.12585327393249382,0.1,1349.1000000000001,1273.1000000000001,0.9436661478022386,381.002004008016,8842.647967612473,23.208927707966676,91.1,Premium,999,Test
CUST0002,Individual Professionals,India,999,1499,1150.0,151.0,1180.0,61,7,0.11766693250198777,0.05843538607046474,0.0,10493.0,9436.0,0.8992661774516344,566.8468468468468,21720.214153227367,38.31760602365286,71.0,Premium,999,Test
CUST0003,Students,India,499,499,520.0,61.0,501.0,53,6,0.11270446424256053,0.07814258121235694,0.05,2844.2999999999997,2478.2999999999997,0.8713215905495201,280.0,4872.800474756048,17.402858838414456,90.9,Penetration,999,Test
CUST0004,Enterprise,India,4999,1199,4620.0,583.0,7643.0,92,26,0.27877755435770674,0.009301007255146172,0.05,29615.3,14457.3,0.48816996619990344,5200.0,59227.79757116947,11.389961071378744,20.7,Moderate Increase,4999,Test
CUST0005,Enterprise,Europe,4999,699,4750.0,704.0,6587.0,109,30,0.2771558887345074,0.016164136005048728,0.15,17824.5,-3295.5,-0.18488597155600436,5200.0,-6686.059163699765,-1.285780608403801,20.3,Value Entry,4999,Test
CUST0006,Students,Southeast Asia,499,1499,470.0,62.0,649.0,43,1,0.025,0.11865189119364443,0.15,1274.1499999999999,1212.1499999999999,0.951340109092336,381.002004008016,9003.869212215714,23.63207835522639,92.6,Premium,999,Test
CUST0007,Individual Professionals,Southeast Asia,999,1999,1050.0,135.0,956.0,57,4,0.0652052335819599,0.07636826113899982,0.1,7196.400000000001,6656.400000000001,0.9249624812406203,613.6936936936936,20126.366028434633,32.79545844328016,65.5,High Premium,999,Test
CUST0008,Mid-Market,India,2499,899,2030.0,268.0,3023.0,104,28,0.2669725306245883,0.014947839378549063,0.1,22654.8,15150.8,0.6687677666543073,2300.0,35658.111558060154,15.50352676437398,32.5,Value Entry,1999,Test
CUST0009,Students,Europe,499,1199,530.0,44.0,620.0,51,3,0.04920391094756703,0.1146160389978544,0.0,3597.0,3465.0,0.963302752293578,350.7014028056112,8922.12367395301,25.44079836172887,100.0,Moderate Increase,999,Recommend
CUST0010,Mid-Market,India,2499,1199,2790.0,218.0,2878.0,104,25,0.24105792175494525,0.025902180508489435,0.1,26977.500000000004,21527.500000000004,0.797979797979798,2300.0,32383.205425088625,14.079654532647229,33.7,Moderate Increase,1999,Test
CUST0011,Enterprise,Middle East,4999,1199,4790.0,555.0,6355.0,72,21,0.293859183370878,0.018339181676921713,0.05,23920.05,12265.05,0.5127518546156885,5200.0,31263.063480258326,6.012127592357371,20.7,Moderate Increase,4999,Test
CUST0012,Students,Southeast Asia,499,1999,530.0,63.0,678.0,31,1,0.025,0.15092320083813526,0.1,1799.1000000000001,1736.1000000000001,0.9649824912456229,431.503006012024,9767.101564496123,22.63507189617112,100.0,High Premium,999,Test
CUST0013,Individual Professionals,India,999,999,1010.0,132.0,1485.0,104,17,0.16410922886579668,0.04432499816563439,0.1,15284.7,13040.7,0.8531865198531865,520.0,16539.161291506156,31.806079406742608,69.5,Moderate Increase,999,Recommend
CUST0014,Small Businesses,Southeast Asia,1499,899,1730.0,196.0,1850.0,142,31,0.21995978431167193,0.032926919126905416,0.1,25082.100000000002,19006.100000000002,0.7577555308367322,1100.0,18006.92325929791,16.369930235725374,45.8,Value Entry,1499,Test
CUST0015,Small Businesses,India,1499,1199,1370.0,259.0,1786.0,122,25,0.2033290244696435,0.03602846748022512,0.05,28476.25,22001.25,0.772617532153988,1100.0,23546.46773859189,21.405879762356264,48.3,Moderate Increase,1499,Recommend
CUST0016,Individual Professionals,Southeast Asia,999,999,1060.0,99.0,1265.0,79,13,0.16723601400182683,0.04868935141360893,0.15,11038.949999999999,9751.949999999999,0.8834128245892952,520.0,14656.709574439288,28.185979950844786,67.4,Moderate Increase,999,Recommend
CUST0017,Enterprise,Southeast Asia,4999,1499,4840.0,809.0,5358.0,97,24,0.24279053616694063,0.013417934193678826,0.1,32378.4,12962.400000000001,0.40034096805277597,5200.0,39711.9978418899,7.636922661901903,21.1,Premium,4999,Test
CUST0018,Students,Southeast Asia,499,1999,490.0,57.0,637.0,38,1,0.025,0.15177921784473394,0.0,1999.0,1942.0,0.9714857428714357,431.503006012024,10852.900563966628,25.151390402281944,99.6,High Premium,999,Test
CUST0019,Mid-Market,Middle East,2499,499,2630.0,440.0,3171.0,60,16,0.26571751599229787,0.01770987266225737,0.05,7584.799999999999,544.7999999999993,0.07182786625883336,2300.0,1888.6063990245996,0.8211332169672172,34.1,Penetration,1999,Test
